id,year,number,unit,topic,question_text,question_image,table_headers,option_a,option_b,option_c,option_d,option_e,correct_answer,a mark,tagged
2025-01,2025,1,Dynamics,Vectors and Scalars,Which row in the table shows both quantities classified correctly?,,Scalar | Vector,weight | force,distance | velocity,mass | distance,force | mass,velocity | time,B,,1
2025-02,2025,2,Dynamics,Velocity–Time Graphs,The graph shows how the velocity \( v \) of an object varies with time \( t \).<br>[c]{{IMAGE}}[/c]The displacement of the object at 2.0 seconds is,2025_Q02_Diagram.png,,4.0 m,5.0 m,6.0 m,8.0 m,10.0 m,A,1,1
2025-03,2025,3,Dynamics,Acceleration,A car is travelling along a straight level road.<br>The car slows down at a constant rate of 2.0 m s⁻² for a time of 8.0 s.<br>The final speed of the car is 5.0 m s⁻¹.<br><br>The initial speed of the car is,,,7.0 m s⁻¹,11 m s⁻¹,16 m s⁻¹,21 m s⁻¹,80 m s⁻¹,D,,1
2025-04,2025,4,Dynamics,Newton's Laws,A cup rests on a table that rests on the Earth. The cup exerts a downward force on the table.<br>[c]{{IMAGE}}[/c]Which of the following is the reaction to this force?,2025_Q04_Diagram.png,,The force of the table on the cup,The force of the cup on the Earth,The force of the Earth on the cup,The force of the cup on the table,The force of the table on the Earth,A,,1
2025-05,2025,5,Dynamics,Energy,A crate of mass 180 kg is lifted through a height of 3.0 m in 2.5 s.<br><br>The minimum work done in lifting the crate through this height is,,,60 J,540 J,1800 J,2200 J,5300 J,E,,1
2025-06,2025,6,Dynamics,Energy,"An asteroid of mass 25 kg is travelling at a speed of 9200 m s⁻¹.<br>On entering the Earth's atmosphere, the asteroid burns up completely.<br><br>The maximum amount of heat energy released is",,,1.2 × 10⁵ J,2.3 × 10⁵ J,2.9 × 10⁶ J,1.1 × 10⁹ J,2.1 × 10⁹ J,D,,1
2025-07,2025,7,Other,Non Specific,The speed \( v \) of a satellite in orbit around the Earth is given by the relationship<br>$$v = \sqrt{rg}$$where:<br>[s]\( r \) is the total distance from the centre of the Earth to the satellite in m<br>\( g \) is the gravitational field strength at the location of the satellite in N kg⁻¹.[/s]<br>The radius of the Earth is 6.4 × 10⁶ m.<br>The height of a satellite above the surface of the Earth is 3.6 × 10⁷ m.<br>The gravitational field strength at this height is 0.22 N kg⁻¹.<br><br>The speed of the satellite is,,,1200 m s⁻¹,2800 m s⁻¹,3100 m s⁻¹,7900 m s⁻¹,20 000 m s⁻¹,C,,1
2025-08,2025,8,Space,Space Exploration,The weight of an astronaut on Earth is 710 N.<br><br>The weight of the astronaut on Mars is,,,72 N,190 N,270 N,710 N,2600 N,C,,1
2025-09,2025,9,Space,Cosmology,Sirius is the brightest star in the night sky.<br>The distance from Earth to Sirius is 8.6 light-years.<br><br>This distance is equivalent to,,,2.7 × 10⁸ m,2.3 × 10¹³ m,1.4 × 10¹⁵ m,9.5 × 10¹⁵ m,8.1 × 10¹⁶ m,E,,1
2025-10,2025,10,Space,Cosmology,"The line spectrum from a star is shown, along with the line spectra of the elements hydrogen, helium, carbon, and nitrogen.<br>[c]{{IMAGE}}[/c]The elements present in this star are",2025_Q10_Diagram.png,,hydrogen and helium,hydrogen and carbon,helium and carbon,helium and nitrogen,carbon and nitrogen,C,,1
2025-11,2025,11,Electricity,Electrical Charge Carriers,"A technician uses an oscilloscope to test three different power supplies.<br>The diagrams represent the traces seen on the screen of the oscilloscope.<br>[c]{{IMAGE}}[/c]Which row in the table identifies trace X, trace Y, and trace Z?",2025_Q11_Diagram.png,trace X | trace Y | trace Z,d.c. | d.c. | d.c.,a.c. | d.c. | d.c.,a.c. | a.c. | d.c.,a.c. | a.c. | a.c.,d.c. | d.c. | a.c.,E,,1
2025-12,2025,12,Electricity,Potential Difference (Voltage),"An electric field exists around two point charges Q and R.<br>The diagram shows the path taken by a charged particle as it travels through the field.<br>The motion of the particle is as shown.<br>[c]{{IMAGE}}[/c]Which row in the table identifies the charge on the particle, the charge on Q, and the charge on R?",2025_Q12_Diagram.png,Charge on particle | Charge on Q | Charge on R,positive | negative | negative,negative | negative | positive,negative | positive | negative,positive | negative | positive,positive | positive | positive,A,1,1
2025-13,2025,13,Electricity,Ohm's Law,A circuit is set up as shown.<br>[c]{{IMAGE}}[/c]The reading on the voltmeter is 3.0 V.<br><br>The resistance of resistor R is,2025_Q13_Diagram.png,,20 Ω,80 Ω,320 Ω,720 Ω,960 Ω,D,1,1
2025-14,2025,14,Electricity,Practical Electrical and Electronic Circuits,Three resistors are connected as shown.<br>[c]{{IMAGE}}[/c]The total resistance between X and Y is,2025_Q14_Diagram.png,,4 Ω,6 Ω,8 Ω,18 Ω,36 Ω,D,,1
2025-15,2025,15,Electricity,Electrical Power,A circuit is set up as shown.<br>[c]{{IMAGE}}[/c]The reading on the ammeter is 0.50 A.<br>The resistance of the lamp is 8.0 Ω.<br><br>The power dissipated in the lamp is,2025_Q15_Diagram.png,,2.0 W,4.0 W,6.0 W,9.0 W,18 W,A,,1
2025-16,2025,16,Electricity,Electrical Power,"A kettle, a television, and a microwave are connected to the mains supply.<br>The kettle has a power rating of 2.6 kW.<br>The television has a power rating of 170 W.<br>The microwave has a power rating of 900 W.<br><br>Which row in the table shows the appropriate fuse rating for the kettle, the television, and the microwave?",,Appropriate fuse rating for kettle (A) | Appropriate fuse rating for television (A) | Appropriate fuse rating for microwave (A),3 | 13 | 3,13 | 3 | 13,13 | 13 | 3,3 | 3 | 13,13 | 3 | 3,B,,1
2025-17,2025,17,Properties of Matter,Specific Heat Capacity,A group of students sets up the experiment shown to determine a value for the specific heat capacity of water.<br>[c]{{IMAGE}}[/c]The students make the following statements about how the experimental procedure could be improved.<br>[s]I Insulate the beaker to reduce heat lost to the surroundings.<br>II Move the immersion heater further into the water.<br>III Use a stopwatch to measure the time for which the water is heated.[/s]Which of these statements is/are correct?,2025_Q17_Diagram.png,,I only,II only,I and II only,I and III only,"I, II and III",C,,1
2025-18,2025,18,Properties of Matter,Specific Latent Heat,"A hot substance is cooled.<br>The graph shows how the temperature of the substance changes with time.<br>[c]{{IMAGE}}[/c]A student makes the following statements about the substance.<br>[s]I The boiling point of the substance is 120 °C.<br>II At a time of 40 minutes, the substance is a gas.<br>III The melting point of the substance is 20 °C.[/s]Which of these statements is/are correct?",2025_Q18_Diagram.png,,I only,II only,I and III only,II and III only,"I, II and III",C,,1
